Fecha,Cod_Maq,Chofer,Modelo,Año,Litros,Km,Pasajeros
2024-01-12,BUS006,Maria Soto,Volkswagen Crafter,2020,69.95,227,61
2024-01-12,BUS007,Ana Diaz,Hyundai County,2020,39.31,153,59
2024-01-12,BUS008,Juan Perez,Hyundai County,2019,101.32,273,51
2024-01-12,BUS009,Maria Soto,Volkswagen Crafter,2019,61.16,274,21
2024-01-12,BUS010,Maria Soto,Iveco Daily,2019,63.9,226,21
2024-01-13,BUS001,Juan Perez,Volkswagen Crafter,2022,27.64,116,28
2024-01-13,BUS002,Pedro Torres,Hyundai County,2022,36.24,142,58
2024-01-13,BUS003,Pedro Torres,Hyundai County,2019,65.31,269,54
2024-01-13,BUS004,Luis Rojas,Iveco Daily,2022,35.19,149,32
2024-01-13,BUS005,Pedro Torres,Mercedes Sprinter,2022,45.14,159,76
2024-01-13,BUS006,Ana Diaz,Volkswagen Crafter,2019,32.95,135,20
2024-01-13,BUS007,Pedro Torres,Iveco Daily,2022,27.41,107,35
2024-01-13,BUS008,Juan Perez,Renault Master,2020,56.31,241,42
2024-01-13,BUS009,Ana Diaz,Mercedes Sprinter,2022,74.43,242,21
2024-01-13,BUS010,Juan Perez,Volkswagen Crafter,2019,35.83,131,41
2024-01-14,BUS001,Pedro Torres,Volkswagen Crafter,2019,43.72,150,41
2024-01-14,BUS002,Ana Diaz,Mercedes Sprinter,2020,37.2,157,68
2024-01-14,BUS003,Maria Soto,Volkswagen Crafter,2020,108.24,279,34
2024-01-14,BUS004,Ana Diaz,Iveco Daily,2018,42.81,153,56
2024-01-14,BUS005,Luis Rojas,Iveco Daily,2019,26.49,107,63
2024-01-14,BUS006,Luis Rojas,Hyundai County,2018,55.26,207,23
2024-01-14,BUS007,Ana Diaz,Hyundai County,2019,40.33,105,71
2024-01-14,BUS008,Luis Rojas,Volkswagen Crafter,2022,53.89,193,74
2024-01-14,BUS009,Pedro Torres,Iveco Daily,2019,67.56,267,32
2024-01-14,BUS010,Ana Diaz,Volkswagen Crafter,2020,60.3,213,49
2024-01-15,BUS001,Luis Rojas,Hyundai County,2021,60.14,246,38
2024-01-15,BUS002,Juan Perez,Renault Master,2018,47.89,191,45
2024-01-15,BUS003,Ana Diaz,Hyundai County,2019,81.15,216,28
2024-01-15,BUS004,Pedro Torres,Renault Master,2022,72.03,239,77
2024-01-15,BUS005,Maria Soto,Volkswagen Crafter,2022,78.57,221,53
2024-01-15,BUS006,Ana Diaz,Renault Master,2018,54.19,195,67
2024-01-15,BUS007,Ana Diaz,Volkswagen Crafter,2021,49.21,188,72
2024-01-15,BUS008,Maria Soto,Mercedes Sprinter,2020,51.7,228,58
2024-01-15,BUS009,Luis Rojas,Volkswagen Crafter,2019,80.64,291,41
2024-01-15,BUS010,Juan Perez,Renault Master,2019,57.5,192,31
2024-01-16,BUS001,Ana Diaz,Hyundai County,2021,78.77,253,56
2024-01-16,BUS002,Luis Rojas,Hyundai County,2019,73.16,185,33
2024-01-16,BUS003,Pedro Torres,Mercedes Sprinter,2020,62.49,168,49
2024-01-16,BUS004,Pedro Torres,Mercedes Sprinter,2019,73.96,289,31
2024-01-16,BUS005,Juan Perez,Volkswagen Crafter,2020,90.14,243,67
2024-01-16,BUS006,Pedro Torres,Renault Master,2019,53.38,184,52
2024-01-16,BUS007,Pedro Torres,Hyundai County,2021,60.66,200,29
2024-01-16,BUS008,Pedro Torres,Iveco Daily,2021,39.31,168,71
2024-01-16,BUS009,Maria Soto,Mercedes Sprinter,2022,63.17,237,77
2024-01-16,BUS010,Pedro Torres,Hyundai County,2018,46.29,195,24
2024-01-17,BUS001,Ana Diaz,Iveco Daily,2021,27.6,103,35
2024-01-17,BUS002,Maria Soto,Volkswagen Crafter,2021,39.56,101,51
2024-01-17,BUS003,Pedro Torres,Mercedes Sprinter,2020,50.12,183,69
2024-01-17,BUS004,Maria Soto,Hyundai County,2022,69.19,262,52
2024-01-17,BUS005,Maria Soto,Iveco Daily,2020,80.2,288,56
2024-01-17,BUS006,Ana Diaz,Volkswagen Crafter,2018,33.92,111,52
2024-01-17,BUS007,Maria Soto,Hyundai County,2020,61.94,267,63
2024-01-17,BUS008,Pedro Torres,Mercedes Sprinter,2020,48.51,128,50
2024-01-17,BUS009,Pedro Torres,Volkswagen Crafter,2020,57.17,145,70
2024-01-17,BUS010,Pedro Torres,Volkswagen Crafter,2020,42.23,134,45
2024-01-18,BUS001,Ana Diaz,Mercedes Sprinter,2021,32.71,107,29
2024-01-18,BUS002,Pedro Torres,Iveco Daily,2019,59.41,189,70
2024-01-18,BUS003,Pedro Torres,Iveco Daily,2019,58.42,204,77
2024-01-18,BUS004,Ana Diaz,Iveco Daily,2018,56.68,213,48
2024-01-18,BUS005,Pedro Torres,Iveco Daily,2020,55.16,219,40
2024-01-18,BUS006,Pedro Torres,Iveco Daily,2022,92.12,263,28
2024-01-18,BUS007,Juan Perez,Volkswagen Crafter,2019,61.02,251,68
2024-01-18,BUS008,Maria Soto,Mercedes Sprinter,2021,59.54,198,37
2024-01-18,BUS009,Juan Perez,Renault Master,2018,61.29,195,51
2024-01-18,BUS010,Ana Diaz,Mercedes Sprinter,2019,45.68,136,74
2024-01-19,BUS001,Luis Rojas,Iveco Daily,2018,28.14,112,54
2024-01-19,BUS002,Ana Diaz,Volkswagen Crafter,2021,62.66,204,68
2024-01-19,BUS003,Maria Soto,Iveco Daily,2022,46.09,161,44
2024-01-19,BUS004,Ana Diaz,Hyundai County,2019,59.77,185,38
2024-01-19,BUS005,Ana Diaz,Iveco Daily,2021,105.87,276,60
2024-01-19,BUS006,Ana Diaz,Volkswagen Crafter,2020,91.7,246,26
2024-01-19,BUS007,Luis Rojas,Iveco Daily,2021,28.86,127,71
2024-01-19,BUS008,Ana Diaz,Hyundai County,2018,52.21,182,35
2024-01-19,BUS009,Ana Diaz,Iveco Daily,2022,80.49,216,31
2024-01-19,BUS010,Juan Perez,Volkswagen Crafter,2019,34.37,124,40
2024-01-20,BUS001,Juan Perez,Renault Master,2021,37.23,152,76
2024-01-20,BUS002,Pedro Torres,Renault Master,2019,51.45,138,61
2024-01-20,BUS003,Ana Diaz,Hyundai County,2022,108.98,285,50
2024-01-20,BUS004,Juan Perez,Volkswagen Crafter,2019,65.33,221,42
2024-01-20,BUS005,Luis Rojas,Renault Master,2019,63.64,174,31
2024-01-20,BUS006,Maria Soto,Renault Master,2020,26.85,108,63
2024-01-20,BUS007,Pedro Torres,Hyundai County,2021,90.3,244,26
2024-01-20,BUS008,Maria Soto,Renault Master,2022,69.97,273,61
2024-01-20,BUS009,Maria Soto,Iveco Daily,2020,56.95,236,77
2024-01-20,BUS010,Maria Soto,Renault Master,2020,110.04,293,56
2024-01-21,BUS001,Ana Diaz,Renault Master,2020,59.24,265,67
2024-01-21,BUS002,Ana Diaz,Iveco Daily,2022,64.17,208,71
2024-01-21,BUS003,Maria Soto,Hyundai County,2020,55.52,244,44
2024-01-21,BUS004,Ana Diaz,Hyundai County,2019,35.94,144,25
2024-01-21,BUS005,Ana Diaz,Iveco Daily,2022,74.49,258,63
2024-01-21,BUS006,Pedro Torres,Mercedes Sprinter,2019,71.86,281,29
2024-01-21,BUS007,Ana Diaz,Renault Master,2019,59.8,189,22
2024-01-21,BUS008,Luis Rojas,Renault Master,2022,107.82,272,47
2024-01-21,BUS009,Luis Rojas,Renault Master,2020,86.12,225,47
2024-01-21,BUS010,Ana Diaz,Renault Master,2020,109.32,299,60
2024-01-22,BUS001,Pedro Torres,Iveco Daily,2019,66.63,266,32
2024-01-22,BUS002,Ana Diaz,Mercedes Sprinter,2019,43.17,191,79
2024-01-22,BUS003,Maria Soto,Renault Master,2021,79.53,212,52
2024-01-22,BUS004,Maria Soto,Iveco Daily,2019,78.57,265,77
2024-01-22,BUS005,Maria Soto,Mercedes Sprinter,2019,32.09,143,64
2024-01-22,BUS006,Maria Soto,Mercedes Sprinter,2022,50.87,160,35
2024-01-22,BUS007,Luis Rojas,Volkswagen Crafter,2022,49.89,217,79
2024-01-22,BUS008,Pedro Torres,Mercedes Sprinter,2022,72.9,263,39
2024-01-22,BUS009,Juan Perez,Volkswagen Crafter,2020,80.09,284,60
2024-01-22,BUS010,Ana Diaz,Hyundai County,2018,38.03,148,50
2024-01-23,BUS001,Maria Soto,Mercedes Sprinter,2019,26.63,100,73
2024-01-23,BUS002,Luis Rojas,Iveco Daily,2018,23.71,102,76
2024-01-23,BUS003,Pedro Torres,Volkswagen Crafter,2019,25.13,111,35
2024-01-23,BUS004,Juan Perez,Mercedes Sprinter,2022,90.91,299,43
2024-01-23,BUS005,Ana Diaz,Mercedes Sprinter,2021,80.41,255,77
2024-01-23,BUS006,Juan Perez,Volkswagen Crafter,2018,50.35,191,27
2024-01-23,BUS007,Juan Perez,Renault Master,2022,96.32,285,47
2024-01-23,BUS008,Ana Diaz,Renault Master,2022,44.96,200,46
2024-01-23,BUS009,Ana Diaz,Mercedes Sprinter,2018,81.18,290,52
2024-01-23,BUS010,Luis Rojas,Mercedes Sprinter,2022,92.54,256,54
2024-01-24,BUS001,Juan Perez,Volkswagen Crafter,2020,52.96,233,24
2024-01-24,BUS002,Luis Rojas,Volkswagen Crafter,2019,33.65,146,29
2024-01-24,BUS003,Maria Soto,Iveco Daily,2022,36.44,155,78
2024-01-24,BUS004,Maria Soto,Hyundai County,2020,73.51,208,75
2024-01-24,BUS005,Luis Rojas,Mercedes Sprinter,2021,32.55,132,37
2024-01-24,BUS006,Maria Soto,Hyundai County,2019,84.83,276,45
2024-01-24,BUS007,Luis Rojas,Renault Master,2019,49.3,162,78
2024-01-24,BUS008,Luis Rojas,Iveco Daily,2019,34.63,126,52
2024-01-24,BUS009,Ana Diaz,Mercedes Sprinter,2018,76.55,197,20
2024-01-24,BUS010,Ana Diaz,Mercedes Sprinter,2022,94.92,248,25
2024-01-25,BUS001,Juan Perez,Mercedes Sprinter,2020,65.79,296,57
2024-01-25,BUS002,Maria Soto,Iveco Daily,2020,28.25,102,56
2024-01-25,BUS003,Luis Rojas,Renault Master,2019,34.63,152,29
2024-01-25,BUS004,Luis Rojas,Mercedes Sprinter,2020,60.77,182,33
2024-01-25,BUS005,Juan Perez,Iveco Daily,2018,69.6,209,64
2024-01-25,BUS006,Ana Diaz,Volkswagen Crafter,2021,34.83,103,68
2024-01-25,BUS007,Pedro Torres,Iveco Daily,2018,50.51,131,50
2024-01-25,BUS008,Luis Rojas,Mercedes Sprinter,2020,67.21,171,77
2024-01-25,BUS009,Ana Diaz,Volkswagen Crafter,2020,75.6,261,22
2024-01-25,BUS010,Luis Rojas,Iveco Daily,2022,71.26,222,20
2024-01-26,BUS001,Pedro Torres,Mercedes Sprinter,2021,34.49,153,49
2024-01-26,BUS002,Maria Soto,Iveco Daily,2019,42.39,156,66
2024-01-26,BUS003,Maria Soto,Volkswagen Crafter,2018,62.34,250,40
2024-01-26,BUS004,Luis Rojas,Mercedes Sprinter,2021,61.67,241,70
2024-01-26,BUS005,Maria Soto,Mercedes Sprinter,2020,72.85,202,79
2024-01-26,BUS006,Juan Perez,Iveco Daily,2021,36.87,137,37
2024-01-26,BUS007,Juan Perez,Renault Master,2018,35.74,129,70
2024-01-26,BUS008,Maria Soto,Mercedes Sprinter,2018,73.37,290,76
2024-01-26,BUS009,Luis Rojas,Mercedes Sprinter,2021,77.9,265,34
2024-01-26,BUS010,Ana Diaz,Volkswagen Crafter,2018,34.45,129,70
2024-01-27,BUS001,Maria Soto,Hyundai County,2021,40.92,180,23
2024-01-27,BUS002,Pedro Torres,Hyundai County,2019,54.44,237,29
2024-01-27,BUS003,Pedro Torres,Volkswagen Crafter,2020,38.46,116,43
2024-01-27,BUS004,Maria Soto,Mercedes Sprinter,2021,37.67,168,72
2024-01-27,BUS005,Ana Diaz,Mercedes Sprinter,2020,92.79,293,62
2024-01-27,BUS006,Luis Rojas,Renault Master,2020,47.65,142,70
2024-01-27,BUS007,Maria Soto,Renault Master,2018,76.15,210,74
2024-01-27,BUS008,Maria Soto,Renault Master,2019,63.84,179,73
2024-01-27,BUS009,Ana Diaz,Iveco Daily,2018,64.26,243,59
2024-01-27,BUS010,Maria Soto,Iveco Daily,2022,72.38,231,22
2024-01-28,BUS001,Maria Soto,Iveco Daily,2018,56.56,195,48
2024-01-28,BUS002,Luis Rojas,Volkswagen Crafter,2021,91.05,259,77
2024-01-28,BUS003,Juan Perez,Volkswagen Crafter,2020,58.1,150,24
2024-01-28,BUS004,Juan Perez,Mercedes Sprinter,2022,59.78,191,41
2024-01-28,BUS005,Pedro Torres,Volkswagen Crafter,2022,68.94,248,24
2024-01-28,BUS006,Ana Diaz,Iveco Daily,2018,38.11,111,53
2024-01-28,BUS007,Pedro Torres,Mercedes Sprinter,2021,78.7,276,64
2024-01-28,BUS008,Maria Soto,Iveco Daily,2021,98.5,254,76
2024-01-28,BUS009,Ana Diaz,Hyundai County,2020,38.87,146,66
2024-01-28,BUS010,Maria Soto,Volkswagen Crafter,2018,36.49,155,67
2024-01-29,BUS001,Ana Diaz,Volkswagen Crafter,2018,63.87,160,55
2024-01-29,BUS002,Maria Soto,Volkswagen Crafter,2021,37.47,100,54
2024-01-29,BUS003,Pedro Torres,Hyundai County,2021,95.59,279,75
2024-01-29,BUS004,Luis Rojas,Renault Master,2018,30.24,113,42
2024-01-29,BUS005,Juan Perez,Hyundai County,2020,51.68,177,64
2024-01-29,BUS006,Maria Soto,Volkswagen Crafter,2019,98.31,253,75
2024-01-29,BUS007,Ana Diaz,Volkswagen Crafter,2019,54.5,214,66
2024-01-29,BUS008,Maria Soto,Volkswagen Crafter,2022,70.96,250,66
2024-01-29,BUS009,Maria Soto,Renault Master,2019,34.46,117,54
2024-01-29,BUS010,Pedro Torres,Mercedes Sprinter,2018,71.69,214,44
2024-01-30,BUS001,Pedro Torres,Iveco Daily,2020,66.98,218,29
2024-01-30,BUS002,Juan Perez,Mercedes Sprinter,2019,43.89,138,58
2024-01-30,BUS003,Ana Diaz,Iveco Daily,2022,58.64,185,63
2024-01-30,BUS004,Pedro Torres,Mercedes Sprinter,2020,28.96,124,39
2024-01-30,BUS005,Maria Soto,Iveco Daily,2021,32.14,124,22
2024-01-30,BUS006,Maria Soto,Renault Master,2021,60.13,208,55
2024-01-30,BUS007,Luis Rojas,Iveco Daily,2019,52.85,210,66
2024-01-30,BUS008,Pedro Torres,Hyundai County,2022,29.13,107,63
2024-01-30,BUS009,Juan Perez,Renault Master,2022,55.87,182,56
2024-01-30,BUS010,Ana Diaz,Mercedes Sprinter,2019,24.42,105,53
2024-01-31,BUS001,Juan Perez,Hyundai County,2021,89.04,286,64
2024-01-31,BUS002,Juan Perez,Renault Master,2022,80.02,297,52
2024-01-31,BUS003,Luis Rojas,Volkswagen Crafter,2021,103.57,280,25
2024-01-31,BUS004,Luis Rojas,Iveco Daily,2020,56.49,169,23
2024-01-31,BUS005,Maria Soto,Volkswagen Crafter,2021,67.17,193,49
2024-01-31,BUS006,Juan Perez,Renault Master,2021,74.29,194,28
2024-01-31,BUS007,Pedro Torres,Mercedes Sprinter,2021,64.81,230,59
2024-01-31,BUS008,Juan Perez,Renault Master,2020,30.04,135,25
2024-01-31,BUS009,Juan Perez,Iveco Daily,2021,45.18,165,30
2024-01-31,BUS010,Luis Rojas,Iveco Daily,2020,41.03,103,73
2024-02-01,BUS001,Ana Diaz,Volkswagen Crafter,2020,60.89,212,57
2024-02-01,BUS002,Juan Perez,Iveco Daily,2021,67.12,278,21
2024-02-01,BUS003,Pedro Torres,Mercedes Sprinter,2020,49.86,178,45
2024-02-01,BUS004,Maria Soto,Volkswagen Crafter,2019,66.55,278,24
2024-02-01,BUS005,Maria Soto,Iveco Daily,2018,38.1,169,23
2024-02-01,BUS006,Maria Soto,Hyundai County,2022,40.7,118,39
2024-02-01,BUS007,Juan Perez,Renault Master,2022,59.56,212,20
2024-02-01,BUS008,Luis Rojas,Renault Master,2018,46.83,189,57
2024-02-01,BUS009,Ana Diaz,Iveco Daily,2018,38.72,136,55
2024-02-01,BUS010,Juan Perez,Mercedes Sprinter,2019,49.37,176,52
2024-02-02,BUS001,Pedro Torres,Mercedes Sprinter,2021,73.43,233,29
2024-02-02,BUS002,Ana Diaz,Mercedes Sprinter,2022,39.59,104,63
2024-02-02,BUS003,Juan Perez,Volkswagen Crafter,2018,72.82,229,21
2024-02-02,BUS004,Pedro Torres,Renault Master,2019,60.81,183,56
2024-02-02,BUS005,Maria Soto,Volkswagen Crafter,2020,42.78,172,30
2024-02-02,BUS006,Luis Rojas,Volkswagen Crafter,2018,70.28,242,74
2024-02-02,BUS007,Pedro Torres,Mercedes Sprinter,2018,81.93,262,68
2024-02-02,BUS008,Maria Soto,Renault Master,2021,40.37,168,63
2024-02-02,BUS009,Juan Perez,Hyundai County,2018,100.78,277,75
2024-02-02,BUS010,Juan Perez,Renault Master,2021,81.1,236,54
2024-02-03,BUS001,Juan Perez,Hyundai County,2018,30.78,134,41
2024-02-03,BUS002,Luis Rojas,Mercedes Sprinter,2018,38.01,159,27
2024-02-03,BUS003,Maria Soto,Hyundai County,2020,26.89,110,33
2024-02-03,BUS004,Luis Rojas,Iveco Daily,2020,56.24,159,40
2024-02-03,BUS005,Luis Rojas,Volkswagen Crafter,2020,63.94,264,78
2024-02-03,BUS006,Ana Diaz,Mercedes Sprinter,2021,49.91,177,23
2024-02-03,BUS007,Maria Soto,Volkswagen Crafter,2021,44.19,188,44
2024-02-03,BUS008,Luis Rojas,Hyundai County,2022,59.28,245,58
2024-02-03,BUS009,Maria Soto,Hyundai County,2019,62.39,203,70
2024-02-03,BUS010,Pedro Torres,Volkswagen Crafter,2022,72.19,224,42
2024-02-04,BUS001,Ana Diaz,Volkswagen Crafter,2020,46.21,162,44
2024-02-04,BUS002,Pedro Torres,Renault Master,2021,56.76,244,74
2024-02-04,BUS003,Pedro Torres,Hyundai County,2020,81.68,293,59
2024-02-04,BUS004,Ana Diaz,Hyundai County,2020,54.16,203,70
2024-02-04,BUS005,Pedro Torres,Renault Master,2019,67.81,297,26
2024-02-04,BUS006,Luis Rojas,Mercedes Sprinter,2021,87.7,278,71
2024-02-04,BUS007,Luis Rojas,Renault Master,2022,26.78,114,52
2024-02-04,BUS008,Pedro Torres,Iveco Daily,2021,62.3,254,57
2024-02-04,BUS009,Luis Rojas,Iveco Daily,2019,90.93,284,56
2024-02-04,BUS010,Luis Rojas,Hyundai County,2021,63.69,254,23
2024-02-05,BUS001,Luis Rojas,Hyundai County,2019,47.1,185,24
2024-02-05,BUS002,Maria Soto,Hyundai County,2019,55.37,222,73
2024-02-05,BUS003,Maria Soto,Mercedes Sprinter,2019,38.34,137,66
2024-02-05,BUS004,Juan Perez,Mercedes Sprinter,2020,75.5,208,75
